| Category                    | Sub-Category                       | Link                                                                   |
| Home & Office               | Soft Toys & Greeting Cards         | <https://blinkit.com/cn/soft-toys-greeting-cards/cid/1379/394>         |
| Home & Office               | Games                              | <https://blinkit.com/cn/games/cid/1379/1868>                           |
| Home & Office               | Collectible Toy Guns & Accessories | <https://blinkit.com/cn/collectible-toy-guns-accessories/cid/1379/596> |
| Home & Office               | DIY and Learning                   | <https://blinkit.com/cn/diy-and-learning/cid/1379/591>                 |
| Home & Office               | Bags                               | <https://blinkit.com/cn/bags/cid/1379/120>                             |
| Home & Office               | Party Essentials                   | <https://blinkit.com/cn/party-essentials/cid/1379/126>                 |
| Home & Office               | Kids Toys & More                   | <https://blinkit.com/cn/kids-toys-more/cid/1379/305>                   |
| Home & Office               | Repellents                         | <https://blinkit.com/cn/repellents/cid/1379/926>                       |
| Home & Office               | Bathroom Essentials                | <https://blinkit.com/cn/bathroom-essentials/cid/1379/1014>             |
| Home & Office               | Pooja Needs                        | <https://blinkit.com/cn/pooja-needs/cid/1379/1048>                     |
| Home & Office               | Stationery Needs                   | <https://blinkit.com/cn/stationery-needs/cid/1379/1049>                |
| Home & Office               | Kitchen & Dining Needs             | <https://blinkit.com/cn/kitchen-dining-needs/cid/1379/1052>            |
| Home & Office               | Tissues & Disposables              | <https://blinkit.com/cn/tissues-disposables/cid/1379/1075>             |
| Home & Office               | Fresheners                         | <https://blinkit.com/cn/fresheners/cid/1379/1085>                      |
| Home & Office               | Electrical Accessories             | <https://blinkit.com/cn/electrical-accessories/cid/1379/1187>          |
| Home & Office               | Electronic Accessories             | <https://blinkit.com/cn/electronic-accessories/cid/1379/1387>          |
| Home & Office               | Home Decor & Storage               | <https://blinkit.com/cn/home-decor-storage/cid/1379/1433>              |
| Home & Office               | Festive & Occasion Needs           | <https://blinkit.com/cn/festive-occasion-needs/cid/1379/1674>          |
| Home & Office               | Clothing, Footwear & Accessories   | <https://blinkit.com/cn/clothing-footwear-accessories/cid/1379/1715>   |
| Home & Office               | Home & Kitchen Appliances          | <https://blinkit.com/cn/home-kitchen-appliances/cid/1379/1886>         |
| Home & Office               | Books                              | <https://blinkit.com/cn/books/cid/1379/1970>                           |
| Home & Office               | Sports, Fitness & Outdoors         | <https://blinkit.com/cn/sports-fitness-outdoors/cid/1379/1992>         |
| Home & Office               | Trimmers                           | <https://blinkit.com/cn/trimmers/cid/1379/2108>                        |
| Home & Office               | Hair Dryer                         | <https://blinkit.com/cn/hair-dryer/cid/1379/2109>                      |
| Home & Office               | Weighing Machines & Massagers      | <https://blinkit.com/cn/weighing-machines-massagers/cid/1379/2110>     |
| Home & Office               | Mixer Grinders                     | <https://blinkit.com/cn/mixer-grinders/cid/1379/1882>                  |
| Home & Office               | Fans                               | <https://blinkit.com/cn/fans/cid/1379/2106>                            |
| Home & Office               | Electric Kettles                   | <https://blinkit.com/cn/electric-kettles/cid/1379/2111>                |
| Home & Office               | Choppers                           | <https://blinkit.com/cn/choppers/cid/1379/1068>                        |
| Home & Office               | Iron                               | <https://blinkit.com/cn/iron/cid/1379/1890>                            |
| Home & Office               | Toasters                           | <https://blinkit.com/cn/toasters/cid/1379/1883>                        |
| Home & Office               | Clocks & Calculators               | <https://blinkit.com/cn/clocks-calculators/cid/1379/2107>              |
| Books                       | Children's Books                   | <https://blinkit.com/cn/childrens-books/cid/1559/273>                  |
| Books                       | Children's Activity Books          | <https://blinkit.com/cn/childrens-activity-books/cid/1559/512>         |
| E-Cards                     | E-Gift Cards                       | <https://blinkit.com/cn/e-cards/cid/416/4301>                          |
